model_name,metric_name,k,pass_rate
meta-llama/Llama-3-8b-chat-hf,pass_compile,5,0.4131493272118272
meta-llama/Llama-3-8b-chat-hf,pass_compile,10,0.44848899523135516
meta-llama/Llama-3-8b-chat-hf,pass_compile,20,0.48557691825906507
meta-llama/Llama-3-8b-chat-hf,pass_compile,40,0.5
meta-llama/Llama-3-8b-chat-hf,pass_parse,1,1.0
meta-llama/Llama-3-8b-chat-hf,pass_parse,5,1.0
meta-llama/Llama-3-8b-chat-hf,pass_parse,10,1.0
meta-llama/Llama-3-8b-chat-hf,pass_parse,20,1.0
meta-llama/Llama-3-8b-chat-hf,pass_parse,40,1.0
meta-llama/Llama-3-8b-chat-hf,pass_synth,1,0.0859375
meta-llama/Llama-3-8b-chat-hf,pass_synth,5,0.14336765282488967
meta-llama/Llama-3-8b-chat-hf,pass_synth,10,0.17881160189518697
meta-llama/Llama-3-8b-chat-hf,pass_synth,20,0.21954674122012832
meta-llama/Llama-3-8b-chat-hf,pass_synth,40,0.25
meta-llama/Llama-3-8b-chat-hf,pass_synth_and_tb,1,0.0859375
meta-llama/Llama-3-8b-chat-hf,pass_synth_and_tb,5,0.14336765282488967
meta-llama/Llama-3-8b-chat-hf,pass_synth_and_tb,10,0.17881160189518697
meta-llama/Llama-3-8b-chat-hf,pass_synth_and_tb,20,0.21954674122012832
meta-llama/Llama-3-8b-chat-hf,pass_synth_and_tb,40,0.25
meta-llama/Llama-3-8b-chat-hf,pass_tb,1,0.3234375
meta-llama/Llama-3-8b-chat-hf,pass_tb,5,0.4131493272118272
meta-llama/Llama-3-8b-chat-hf,pass_tb,10,0.44848899523135516
meta-llama/Llama-3-8b-chat-hf,pass_tb,20,0.48557691825906507
meta-llama/Llama-3-8b-chat-hf,pass_tb,40,0.5
